satellite, Count: 887, Level 1
earth science > oceans > ocean chemistry > nitrate, Count: 1, Level 4

earth science > oceans > ocean temperature, Count: 1, Level 3

Level 1: 78
Level 2: 0
Level 3: 17
Level 4: 155
Level 5: 111
Level 6: 31
