satellite, Count: 887, Level 1
earth science > oceans > sea surface topography > sea surface height > sea surface height anomaly _ssha_, Count: 1, Level 5

earth science > oceans > ocean temperature > water temperature, Count: 4, Level 4

earth science > oceans > ocean temperature > sea surface temperature, Count: 5, Level 4

soils, Count: 71, Level 1

earth science > biosphere > vegetation > vegetation cover, Count: 64, Level 4

electrification, Count: 45, Level 1

abundance, Count: 49, Level 1

plankton, Count: 116, Level 1

macrofauna, Count: 1, Level 1

ecology, Count: 21, Level 1

production, Count: 33, Level 1

sounding composites, Count: 33, Level 1

mammals, Count: 31, Level 1

earth science > atmosphere > atmospheric chemistry > nitrogen compounds > nitrogen oxides, Count: 1, Level 5

earth science > atmosphere > aerosols > aerosol particle properties > aerosol size distribution, Count: 1, Level 5

earth science > atmosphere > air quality > emissions, Count: 2, Level 4

earth science > atmosphere > air quality > particulates, Count: 4, Level 4

earth science > atmosphere > air quality > nitrogen oxides, Count: 1, Level 4

earth science > human dimensions > natural hazards > wildfires, Count: 2, Level 4

earth science > atmosphere > aerosols > black carbon, Count: 2, Level 4

earth science > agriculture > forest science > forest fire science, Count: 2, Level 4

earth science > atmosphere > aerosols > aerosol particle properties > aerosol concentration, Count: 1, Level 5

earth science > atmosphere > aerosols > organic particles, Count: 4, Level 4

earth science > atmosphere > atmospheric chemistry > nitrogen compounds > nitrogen dioxide, Count: 2, Level 5

earth science > atmosphere > atmospheric radiation > incoming solar radiation, Count: 5, Level 4

earth science > atmosphere > atmospheric chemistry > nitrogen compounds > ammonia, Count: 2, Level 5

earth science > atmosphere > aerosols > nitrate particles, Count: 3, Level 4

earth science > atmosphere > aerosols > sulfate particles, Count: 2, Level 4

earth science > atmosphere > aerosols > aerosol particle properties, Count: 7, Level 4

earth science > atmosphere > aerosols > particulate matter, Count: 3, Level 4

earth science > atmosphere > atmospheric chemistry > photochemistry > photolysis rates, Count: 1, Level 5

earth science services > models > ocean general circulation models (ogcm)/regional ocean models, Count: 1, Level 3

earth science > oceans > sea ice > ice depth/thickness, Count: 3, Level 4

earth science > oceans > sea ice > sea ice motion, Count: 1, Level 4

earth science > oceans > sea ice > snow depth, Count: 2, Level 4

earth science > oceans > ocean circulation > ocean currents, Count: 1, Level 4

earth science services > models > cryosphere models, Count: 1, Level 3

buoy, Count: 25, Level 1

earth science > spectral/engineering > radar > radar reflectivity, Count: 31, Level 4

earth science > atmosphere > atmospheric winds > upper level winds > wind direction, Count: 41, Level 5

earth science > atmosphere > atmospheric winds > wind dynamics > vertical wind velocity/speed, Count: 13, Level 5

earth science > atmosphere > atmospheric winds > upper level winds > boundary layer winds, Count: 36, Level 5

earth science > atmosphere > atmospheric winds > wind profiles > wind direction profiles, Count: 40, Level 5

earth science > atmosphere > atmospheric winds > wind profiles > wind velocity/speed profiles, Count: 40, Level 5

earth science > atmosphere > atmospheric winds > upper level winds > wind speed, Count: 41, Level 5

position, Count: 3, Level 1

earth science > atmosphere > atmospheric radiation > solar radiation, Count: 14, Level 4

earth science > land surface > soils > soil temperature, Count: 16, Level 4

seabirds, Count: 17, Level 1

earth science services > data analysis and visualization > global positioning systems, Count: 3, Level 3

earth science > atmosphere > atmospheric temperature > surface temperature > potential temperature, Count: 4, Level 5

earth science > atmosphere > clouds > cloud microphysics > particle size distribution, Count: 13, Level 5

earth science > atmosphere > atmospheric pressure > atmospheric pressure measurements, Count: 26, Level 4

earth science > atmosphere > atmospheric water vapor > water vapor indicators > vapor pressure, Count: 7, Level 5

earth science > atmosphere > atmospheric temperature > upper air temperature > dew point temperature, Count: 25, Level 5

earth science > atmosphere > atmospheric winds > wind dynamics > horizontal wind velocity/speed, Count: 8, Level 5

earth science > atmosphere > atmospheric winds > upper level winds > u/v wind components, Count: 35, Level 5

earth science > atmosphere > aerosols, Count: 7, Level 3

earth science > atmosphere > clouds > cloud droplet distribution, Count: 18, Level 4

earth science > atmosphere > clouds > cloud microphysics > cloud droplet concentration/size, Count: 17, Level 5

earth science > atmosphere > atmospheric chemistry > oxygen compounds > ozone, Count: 8, Level 5

earth science > atmosphere > atmospheric pressure > static pressure, Count: 10, Level 4

earth science > atmosphere > atmospheric temperature, Count: 8, Level 3

earth science > spectral/engineering > radar > spectrum width, Count: 13, Level 4

earth science > atmosphere > clouds > cloud properties, Count: 13, Level 4

earth science > spectral/engineering > radar > radar imagery, Count: 3, Level 4

earth science > atmosphere > clouds > cloud microphysics, Count: 9, Level 4

earth science > atmosphere > precipitation > liquid precipitation, Count: 1, Level 4

earth science > atmosphere > precipitation > droplet size, Count: 7, Level 4

earth science > spectral/engineering > radar > doppler velocity, Count: 14, Level 4

earth science > atmosphere > precipitation > hydrometeors, Count: 11, Level 4

earth science > spectral/engineering > radar > radar backscatter, Count: 6, Level 4

radioisotope, Count: 29, Level 1

earth science > land surface > soils > soil heat budget, Count: 5, Level 4

bathymetry, Count: 20, Level 1

chlorophyll, Count: 4, Level 1

local and traditional knowledge, Count: 11, Level 1

earth science > atmosphere > atmospheric temperature > upper air temperature > virtual temperature, Count: 12, Level 5

earth science > atmosphere > altitude > geopotential height, Count: 22, Level 4

earth science > atmosphere > atmospheric temperature > upper air temperature > dew point temperature > dew point depression, Count: 1, Level 6

earth science > atmosphere > atmospheric temperature > upper air temperature > vertical profiles > environmental lapse rate, Count: 1, Level 6

earth science > atmosphere > atmospheric radiation > ultraviolet radiation, Count: 1, Level 4

fish, Count: 23, Level 1

earth science > cryosphere > sea ice > heat flux, Count: 1, Level 4

earth science > oceans > sea ice > leads, Count: 1, Level 4

earth science > spectral/engineering > radar > radar cross-section, Count: 1, Level 4

earth science > spectral/engineering > radar > radial velocity, Count: 5, Level 4

earth science > atmosphere > precipitation > precipitation profiles > rain type, Count: 1, Level 5

earth science > spectral/engineering > radar > return power, Count: 8, Level 4

earth science > atmosphere > atmospheric winds > wind profiles > line of sight winds, Count: 3, Level 5

earth science > atmosphere > precipitation > precipitation profiles > melting layer height, Count: 1, Level 5

earth science > atmosphere > clouds > convective clouds/systems (observed/analyzed), Count: 1, Level 4

earth science > spectral/engineering > radar, Count: 5, Level 3

